anchorage_id,anchorage_name,anchorage_sublabel,lat,lon,total_visits,top_destination,iso3,distance_from_shore_m,dock
8edb4171,KINGSTON,NA,17.891098358009387,-76.77199136629912,24,KINGSTON,JAM,5000,FALSE
8edb417b,KINGSTON,NA,17.886438011363932,-76.7716003990633,27,KINGSTON,JAM,5000,FALSE
8edb4177,KINGSTON,NA,17.89146939562858,-76.77733825940209,33,JMKIN,JAM,5000,FALSE
8c47514f,KINGSTOWN,NA,13.15011901402809,-61.2246015262632,526,KINGSTOWN,VCT,0,TRUE
8c47514d,KINGSTOWN,NA,13.15121539343023,-61.231267667165184,66,ST VINCENT,VCT,0,TRUE
8c475117,KINGSTOWN,NA,13.131611107985915,-61.20543210204974,215,ST VINCENT,VCT,0,TRUE
8c475111,KINGSTOWN,NA,13.13263611069557,-61.2031743399468,367,ST VINCENT,VCT,0,TRUE
8c4756a7,KINGSTOWN,NA,13.162662330112633,-61.246406170989715,108,ST VINCENT,VCT,0,TRUE
8c47513f,KINGSTOWN,NA,13.137557472097951,-61.2122863576292,148,ST VINCENT,VCT,0,TRUE
8c47541d,KINGSTOWN,NA,13.167505472704482,-61.24804262133361,145,ST VINCENT,VCT,0,TRUE
14a01451,KORINTHOS,NA,37.949969482951296,22.944323066264158,20,CORINTH,GRC,0,FALSE
8e831bb5,KRALENDIJK,NA,12.158296428014607,-68.28170176693558,540,A ESC,BES,0,TRUE
8e831bcb,KRALENDIJK,NA,12.162990824076859,-68.2847758163932,714,BONAIRE,BES,0,TRUE
8e831baf,KRALENDIJK,NA,12.147581498821081,-68.2775538169746,1454,BONAIRE,BES,0,TRUE
0d2e7c7f,LA CORUNA,NA,43.36820658190458,-8.397137698888558,1246,ARMANY,ESP,1000,TRUE
8c2a5d29,LA GUAIRA,NA,10.618693184846075,-66.95314991008995,34,LA GUAIRA,VEN,2000,FALSE
0c6b5715,LA RESTINGA,NA,27.63921020793013,-17.980567339887553,216,SANTA CRUZ TENERIFE,ESP,2000,TRUE
8eaf5459,LA ROMANA,NA,18.415197897833355,-68.95897978950357,337,LA ROMANA,DOM,0,TRUE
8c408d09,LABORIE,NA,13.747373280433296,-60.997705386185615,65,AXXXXX01580,LCA,0,TRUE
0b47a1a1,LAJES,NA,38.39729899891469,-28.255029549689464,275,CH,PRT,0,TRUE
0b32274b,LAJES DAS FLORES,NA,39.37896987331912,-31.168458812390583,1160,FLORES,PRT,1000,TRUE
8c1cacd9,LAMBOGLIA,NA,17.975578393411215,-65.99451913213882,110,B 3,PRI,0,TRUE
0c463aaf,LANZAROTE,NA,28.90416905413671,-13.736261865096202,38,LANZAROTE,ESP,0,TRUE
8fab5f47,LAS CUMBRES,PANAMA CANAL,9.061876818975083,-79.66422352454617,72,DALIAOONG,PAN,0,TRUE
0c40956f,LAS PALMAS,NA,28.130942551325905,-15.423500060816046,409,LAS PALMAS,ESP,0,TRUE
0c40bfff,LAS PALMAS,NA,28.159935358016906,-15.402093746370557,238,LAS PALMAS,ESP,2000,TRUE
0c40be07,LAS PALMAS,LAS PALMAS OFFSHORE,28.07730194361201,-15.397846259372544,58,LAS PALMAS,ESP,2000,FALSE
0c40be3f,LAS PALMAS,LAS PALMAS OFFSHORE,28.100367339216454,-15.387454166299497,33,LAS PALMAS,ESP,3000,FALSE
0c40be0b,LAS PALMAS,LAS PALMAS OFFSHORE,28.07933021243332,-15.386663060829395,35,LAS PALMAS,ESP,3000,FALSE
0c40bff1,LAS PALMAS,LAS PALMAS OFFSHORE,28.157671285970412,-15.391275450351245,21,LAS PALMAS,ESP,3000,FALSE
0c6aa20d,LAS ROSAS,NA,28.006065875453775,-16.65022914292139,37,CLUIS,ESP,0,TRUE
0c6aa271,LAS ROSAS,NA,28.007022011312515,-16.66029601416227,2650,CRE,ESP,0,TRUE
8ebab427,LAS SALINAS,NA,18.22360049509865,-70.52446918173884,67,SETUBAL,DOM,0,FALSE
8fab259f,LB MARIN,NA,9.613964585699469,-79.57973970628936,38,LB MARIN,PAN,0,TRUE
8c134f71,LE GOSIER,NA,16.201366300992053,-61.49702389372304,38,CGIESTAN,FRA,2000,TRUE
8c134f73,LE GOSIER,NA,16.2013102955441,-61.494520479872804,199,AER,FRA,2000,TRUE
8c134f85,LE GOSIER,NA,16.184820106076472,-61.50443477778888,167,POINTE A PITRE,FRA,4000,FALSE
8c134f8f,LE GOSIER,NA,16.181220493667166,-61.504721567033265,55,POINTE A PITRE,FRA,4000,FALSE
8c134f9b,LE GOSIER,NA,16.18483513935442,-61.500593970874206,68,POINTE A PITRE,FRA,4000,FALSE
8c134faf,LE GOSIER,LE GOSIER,16.181518190975734,-61.47546899843662,26,POINTE A PITRE,FRA,3000,FALSE
8c134f83,LE GOSIER,NA,16.190365392185342,-61.504386129533906,39,POINTE A PITRE,FRA,3000,FALSE
8c4023db,LE MARIN,NA,14.447881061313526,-60.89311201076667,52,ARVICE,MTQ,0,TRUE
